"n_rows_bb_mean","n_rows_group_mean","n_rows_group_var","sig_FDR_bb_mean","sig_FDR_group_mean","sig_FDR_group_var","group_id","celltype","condition"
6723,6723,6723,2175,4624,1481,"Cardiomyocyte__F1_Aged","Cardiomyocyte","F1_Aged"
6415,6415,6415,2025,4378,1599,"Cardiomyocyte__F1_Young","Cardiomyocyte","F1_Young"
1986,1986,1986,100,1400,990,"Coronary_EC__F1_Aged","Coronary_EC","F1_Aged"
1793,1793,1793,81,1171,835,"Coronary_EC__F1_Young","Coronary_EC","F1_Young"
2842,2842,2842,92,2037,1613,"Endocardial_EC__F1_Aged","Endocardial_EC","F1_Aged"
2119,2119,2119,82,1484,1067,"Endocardial_EC__F1_Young","Endocardial_EC","F1_Young"
4468,4468,4468,383,2750,1980,"Fibroblast__F1_Aged","Fibroblast","F1_Aged"
3308,3308,3308,240,2289,1202,"Fibroblast__F1_Young","Fibroblast","F1_Young"
1227,1227,1227,77,1075,886,"M2__F1_Aged","M2","F1_Aged"
1152,1152,1152,56,933,691,"M2__F1_Young","M2","F1_Young"
2730,2730,2730,93,1439,1469,"MacFib__F1_Aged","MacFib","F1_Aged"
1643,1643,1643,54,1245,826,"MacFib__F1_Young","MacFib","F1_Young"
1176,1176,1176,56,1005,794,"Mesothelial__F1_Aged","Mesothelial","F1_Aged"
1383,1383,1383,49,1147,737,"Mesothelial__F1_Young","Mesothelial","F1_Young"
668,668,668,18,516,355,"Myeloid__F1_Aged","Myeloid","F1_Aged"
495,495,495,2,453,352,"Myeloid__F1_Young","Myeloid","F1_Young"
2393,2393,2393,159,1653,1240,"Pericytes__F1_Aged","Pericytes","F1_Aged"
2023,2023,2023,155,1322,890,"Pericytes__F1_Young","Pericytes","F1_Young"
1405,1405,1405,17,928,731,"Unknown_1__F1_Aged","Unknown_1","F1_Aged"
796,796,796,10,676,522,"Unknown_1__F1_Young","Unknown_1","F1_Young"
