"n_rows_bb_mean","n_rows_group_mean","n_rows_group_var","sig_FDR_bb_mean","sig_FDR_group_mean","sig_FDR_group_var","group_id","celltype","condition"
6723,6723,6723,2626,1002,1011,"Cardiomyocyte__F1_Aged","Cardiomyocyte","F1_Aged"
6415,6415,6415,2437,883,839,"Cardiomyocyte__F1_Young","Cardiomyocyte","F1_Young"
1986,1986,1986,88,337,320,"Coronary_EC__F1_Aged","Coronary_EC","F1_Aged"
1793,1793,1793,77,246,277,"Coronary_EC__F1_Young","Coronary_EC","F1_Young"
2842,2842,2842,84,593,532,"Endocardial_EC__F1_Aged","Endocardial_EC","F1_Aged"
2119,2119,2119,63,387,375,"Endocardial_EC__F1_Young","Endocardial_EC","F1_Young"
4468,4468,4468,397,1159,1186,"Fibroblast__F1_Aged","Fibroblast","F1_Aged"
3308,3308,3308,238,773,568,"Fibroblast__F1_Young","Fibroblast","F1_Young"
1227,1227,1227,68,248,184,"M2__F1_Aged","M2","F1_Aged"
1152,1152,1152,52,49,66,"M2__F1_Young","M2","F1_Young"
2730,2730,2730,81,812,750,"MacFib__F1_Aged","MacFib","F1_Aged"
1643,1643,1643,39,132,157,"MacFib__F1_Young","MacFib","F1_Young"
1176,1176,1176,46,134,128,"Mesothelial__F1_Aged","Mesothelial","F1_Aged"
1383,1383,1383,43,182,143,"Mesothelial__F1_Young","Mesothelial","F1_Young"
668,668,668,13,125,134,"Myeloid__F1_Aged","Myeloid","F1_Aged"
495,495,495,2,33,38,"Myeloid__F1_Young","Myeloid","F1_Young"
2393,2393,2393,144,614,576,"Pericytes__F1_Aged","Pericytes","F1_Aged"
2023,2023,2023,140,411,393,"Pericytes__F1_Young","Pericytes","F1_Young"
1405,1405,1405,16,383,320,"Unknown_1__F1_Aged","Unknown_1","F1_Aged"
796,796,796,10,47,45,"Unknown_1__F1_Young","Unknown_1","F1_Young"
