gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young,dir_Aged,dir_Young,consistency
Cacna2d1,0.7679,0.00116474600939148,0.7302,0.00376994002820382,above,above,consistent_above
Clic4,0.2613,0.0213262585827955,0.3091,0.0484329364486478,below,below,consistent_below
Cobll1,0.6515,0.0414412642371511,0.7337,5.2751759385287e-4,above,above,consistent_above
Cradd,0.1915,1.690164426664e-4,0.3288,0.0657327028045813,below,below,consistent_below
Efna5,0.345,0.0504675894400449,0.3114,0.0199392042883177,below,below,consistent_below
Gm35330,0.8286,4.98297758090588e-5,0.7993,2.9893727584109e-4,above,above,consistent_above
Grm1,0.9908,8.55948035068374e-35,0.9881,4.29951266525254e-41,above,above,consistent_above
Lama2,0.2833,2.57544209271092e-8,0.2625,1.95506492453583e-8,below,below,consistent_below
Malat1,0.4616,0.0138373265023418,0.4491,6.9609653523214e-4,below,below,consistent_below
Pcdh7,0.6382,0.0412835045434734,0.6094,0.00101777613293939,above,above,consistent_above
Pde7b,0.2333,1.51043206593355e-6,0.2486,0.00101777613293939,below,below,consistent_below
Prkg1,0.1583,6.29378295308164e-9,0.077,2.9822921629550704e-15,below,below,consistent_below
Prune2,0.7116,0.094429442071864,0.7743,0.00745345838977704,above,above,consistent_above
