gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
Ank2,F1_Aged,0.0905420263151224,0.279761904761905,shared,0.00166905774331707,0.156486291486292,Myeloid
App,F1_Aged,5.82324767272069e-6,0.694064153439153,shared,0.0794653266505359,0.674988065401599,Myeloid
Lyz1,F1_Aged,1.56795185459981e-10,0,shared,4.96290389797217e-13,0,Myeloid
Ank2,F1_Young,0.00166905774331707,0.156486291486292,shared,0.0905420263151224,0.279761904761905,Myeloid
App,F1_Young,0.0794653266505359,0.674988065401599,shared,5.82324767272069e-6,0.694064153439153,Myeloid
Lyz1,F1_Young,4.96290389797217e-13,0,shared,1.56795185459981e-10,0,Myeloid
Apoe,F1_Aged,1.28286413089369e-10,0.881944444444444,aged_only,0.116246595395772,0.732506613756614,Myeloid
Cd44,F1_Aged,0.0942203955951252,0.686438923395445,aged_only,1,0.319111111111111,Myeloid
Dock10,F1_Aged,0.0959919141190119,0.699691358024691,aged_only,1,0.586111111111111,Myeloid
Gda,F1_Aged,0.00769575035272567,0.807471264367816,aged_only,1,0.614814814814815,Myeloid
Lyz2,F1_Aged,8.2636815362047e-4,0.755449735449735,aged_only,0.205315475760801,0.772222222222222,Myeloid
Neat1,F1_Aged,0.0184335933361442,0.662358276643991,aged_only,1,0.536998164437189,Myeloid
Sash1,F1_Aged,0.0441885589562369,0.306860371267151,aged_only,1,0.452521008403361,Myeloid
Tanc2,F1_Aged,0.0280540102367115,0.324664224664225,aged_only,0.127140006797975,0.280803571428571,Myeloid
Vav3,F1_Aged,5.82467479474438e-6,0.287086032813881,aged_only,0.293985649705647,0.359813389615669,Myeloid
Wipf1,F1_Aged,0.0942203955951252,0.300750360750361,aged_only,0.705650843770869,0.38577694235589,Myeloid
