celltype,subset,n_genes,n_terms,top,padj
Cardiomyocyte,aged_only,467,722,pallium development,0.8117507094071484
Cardiomyocyte,young_only,385,504,negative regulation of protein metabolic process,0.5035471094066659
Cardiomyocyte,condition_specific,852,1122,pallium development,0.9577565032935136
Coronary_EC,aged_only,25,38,cellular component assembly,0.09652965922007307
Coronary_EC,young_only,27,31,apoptotic process,0.21281857819355754
Coronary_EC,condition_specific,52,115,cellular component assembly,0.40004012263153915
Endocardial_EC,aged_only,23,11,anatomical structure development,0.4829749103942652
Endocardial_EC,young_only,20,14,cellular component organization,0.9231707317073171
Endocardial_EC,condition_specific,43,41,cell differentiation,0.7418609258403223
Fibroblast,aged_only,128,270,cell junction organization,0.3890620641467991
Fibroblast,young_only,87,144,chromatin organization,0.9955654101995566
Fibroblast,condition_specific,215,436,cell junction organization,0.6064655536895573
M2,aged_only,23,15,positive regulation of biological process,0.22538541177258606
M2,young_only,16,4,cellular process,0.5542168674698795
M2,condition_specific,39,53,positive regulation of biological process,0.3336691009821204
MacFib,aged_only,26,35,cellular component organization,0.7966616084977238
MacFib,young_only,14,1,cellular process,0.8092243186582809
MacFib,condition_specific,40,53,response to external stimulus,0.9971181556195965
Mesothelial,aged_only,14,7,multicellular organismal process,0.6081871345029239
Mesothelial,condition_specific,22,17,metabolic process,0.5942571785268415
Myeloid,condition_specific,7,0,NA,NA
Pericytes,aged_only,35,43,multicellular organismal process,0.41235005279828013
Pericytes,young_only,45,79,signal transduction,0.3153397167621911
Pericytes,condition_specific,80,157,cell adhesion,0.7822367083584877
Unknown_1,condition_specific,11,1,cellular process,0.41706161137440756
