totals_rds	glm_csv	bb_csv	output_rds	seed
results/sim_runs/zinb_totals/Cardiomyocyte/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Cardiomyocyte/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Cardiomyocyte/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Cardiomyocyte/F1_Aged_seed7001.rds	7001
results/sim_runs/zinb_totals/Cardiomyocyte/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Cardiomyocyte/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Cardiomyocyte/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Cardiomyocyte/F1_Aged_seed7002.rds	7002
results/sim_runs/zinb_totals/Cardiomyocyte/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Cardiomyocyte/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Cardiomyocyte/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Cardiomyocyte/F1_Aged_seed7003.rds	7003
results/sim_runs/zinb_totals/Cardiomyocyte/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Cardiomyocyte/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Cardiomyocyte/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Cardiomyocyte/F1_Young_seed7011.rds	7011
results/sim_runs/zinb_totals/Cardiomyocyte/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Cardiomyocyte/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Cardiomyocyte/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Cardiomyocyte/F1_Young_seed7012.rds	7012
results/sim_runs/zinb_totals/Cardiomyocyte/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Cardiomyocyte/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Cardiomyocyte/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Cardiomyocyte/F1_Young_seed7013.rds	7013
results/sim_runs/zinb_totals/Fibroblast/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Fibroblast/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Fibroblast/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Fibroblast/F1_Aged_seed7021.rds	7021
results/sim_runs/zinb_totals/Fibroblast/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Fibroblast/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Fibroblast/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Fibroblast/F1_Aged_seed7022.rds	7022
results/sim_runs/zinb_totals/Fibroblast/F1_Aged_totals.rds	results/glm_diag_allcells_glmstyle/Fibroblast/F1_Aged/glm_diagnostics.csv	results/aspen_sex_no_imprint/Fibroblast/F1_Aged/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Fibroblast/F1_Aged_seed7023.rds	7023
results/sim_runs/zinb_totals/Fibroblast/F1_Young_totals.rds	results/glm_diag_allcells_glmstyle/Fibroblast/F1_Young/glm_diagnostics.csv	results/aspen_sex_no_imprint/Fibroblast/F1_Young/bb_mean_results_norm.csv	results/sim_runs/zinb_simulations/Fibroblast/F1_Young_seed7031.rds	7031
