celltype,subset,n_genes,n_terms,top,padj
Cardiomyocyte,aged_only,665,0,NA,NA
Cardiomyocyte,young_only,589,0,NA,NA
Cardiomyocyte,condition_specific,1254,0,NA,NA
Coronary_EC,aged_only,43,0,NA,NA
Coronary_EC,young_only,36,0,NA,NA
Coronary_EC,condition_specific,79,0,NA,NA
Endocardial_EC,aged_only,40,0,NA,NA
Endocardial_EC,young_only,27,0,NA,NA
Endocardial_EC,condition_specific,67,0,NA,NA
Fibroblast,aged_only,192,0,NA,NA
Fibroblast,young_only,133,0,NA,NA
Fibroblast,condition_specific,325,3,Rho protein signal transduction,5.068833420641076e-4
M2,aged_only,42,0,NA,NA
M2,young_only,30,0,NA,NA
M2,condition_specific,72,0,NA,NA
MacFib,aged_only,42,0,NA,NA
MacFib,young_only,19,0,NA,NA
MacFib,condition_specific,61,0,NA,NA
Mesothelial,aged_only,22,10,calcium ion transmembrane import into cytosol,0.02141682829144638
Mesothelial,young_only,15,0,NA,NA
Mesothelial,condition_specific,37,6,calcium ion transmembrane import into cytosol,0.022948734820585296
Myeloid,aged_only,10,0,NA,NA
Myeloid,condition_specific,10,0,NA,NA
Pericytes,aged_only,63,2,inorganic ion homeostasis,0.015318415375424348
Pericytes,young_only,79,0,NA,NA
Pericytes,condition_specific,142,0,NA,NA
Unknown_1,aged_only,16,0,NA,NA
Unknown_1,condition_specific,18,0,NA,NA
