celltype,condition,n_sig,n_bg,n_terms,top,padj
Cardiomyocyte,F1_Aged,2886,6723,3,cell communication involved in cardiac conduction,0.014423899266258528
Cardiomyocyte,F1_Young,2691,6415,0,NA,NA
Coronary_EC,F1_Aged,114,1986,1,regulation of heart rate,0.048426122790915446
Coronary_EC,F1_Young,98,1793,0,NA,NA
Endocardial_EC,F1_Aged,100,2842,0,NA,NA
Endocardial_EC,F1_Young,86,2119,0,NA,NA
Fibroblast,F1_Aged,449,4468,0,NA,NA
Fibroblast,F1_Young,319,3308,3,platelet activation,0.026208987143191625
M2,F1_Aged,95,1227,0,NA,NA
M2,F1_Young,80,1152,0,NA,NA
MacFib,F1_Aged,110,2730,0,NA,NA
MacFib,F1_Young,54,1643,0,NA,NA
Mesothelial,F1_Aged,59,1176,0,NA,NA
Mesothelial,F1_Young,53,1383,0,NA,NA
Myeloid,F1_Aged,19,668,0,NA,NA
Pericytes,F1_Aged,181,2393,0,NA,NA
Pericytes,F1_Young,182,2023,0,NA,NA
Unknown_1,F1_Aged,30,1405,0,NA,NA
Unknown_1,F1_Young,9,796,0,NA,NA
