ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0061061,muscle structure development,109/902,365/6335,0.29863013698630136,2.097363545241928,8.798978188388542,1.5295956352657833e-15,5.9180055128433155e-12,4.5775162011164445e-12,Abcc9/Actc1/Adarb1/Adprhl1/Adra1a/Alpk2/Alpk3/Angpt1/Ankrd1/Ankrd17/Ankrd23/Arid5b/Atf3/Bcl2/Bdnf/Bmpr1a/Btg2/Camk2d/Casq2/Cdh2/Chd2/Cryab/Csrp3/Cxadr/Dag1/Des/Dpf3/Dsp/Dysf/Ednra/Eln/Epc1/Fbxo40/Fhl2/Fhod3/Fktn/Flnc/Gja1/Gpcpd1/Gsk3b/Hdac4/Hdac9/Heg1/Hopx/Hspa8/Igfbp5/Itgb1/Jph1/Lama2/Lmod2/Mef2a/Mef2c/Meis1/Mtss1/Mybpc3/Myh6/Myh7/Myl2/Myl3/Mylk3/Myo18b/Myocd/Myom2/Myoz2/Neb/Nebl/Nr2c2/Pdlim1/Pdlim5/Pgm5/Pik3r1/Plcb1/Popdc3/Ppara/Ppp2r3a/Prickle1/Prkd1/Prox1/Qki/Rarb/Rbfox1/Rbm24/Rbpj/Rcan1/Ripor2/Rora/Rpl3l/Sfmbt1/Sik1/Slc8a1/Smyd1/Smyd3/Sox6/Spag9/Svil/Tbx20/Tcf7l2/Tgfb2/Tnni3/Tnnt2/Tpm1/Trim63/Ttn/Unc45b/Vegfa/Wnt5b/Xirp1/Xirp2/Zfpm2,109
GO:0030029,actin filament-based process,111/902,386/6335,0.28756476683937826,2.01964833473111,8.42256803826289,1.5454123253903508e-14,2.9896001434676336e-11,2.3124248637288252e-11,Abcc9/Abra/Actc1/Adprhl1/Ankrd23/Arhgap44/Atp1a1/Atp2c1/Baiap2l1/Bcas3/Bcl2/Cacna1c/Cacnb2/Camk2d/Cap2/Casq2/Ccn2/Clasp1/Coro6/Csrp3/Cxadr/Daam1/Dsg2/Dsp/Dstn/Elmo1/Eln/Enah/Epb41/Farp2/Fer/Fermt2/Fhod3/Flnc/Frmd6/Gja1/Hmcn1/Hsp90b1/Itgb1/Itgb5/Jmy/Kank1/Kank2/Kcnd3/Kcnn2/Kcnq1/Lmod2/Lpin1/Luzp1/Mef2a/Mef2c/Mkln1/Mtss1/Mybpc3/Myh6/Myh7/Myh7b/Myl2/Mylk3/Myo18b/Myo1e/Myom2/Myoz2/Naa20/Nck1/Neb/Nebl/Nedd4l/Nedd9/Nrp1/Pafah1b1/Pak2/Pakap/Parvb/Pdlim1/Pdlim5/Pgm5/Phactr2/Pik3r1/Pip5k1a/Pln/Ppargc1b/Ppm1e/Ppp1r9a/Prkce/Prkd1/Prox1/Qki/Rap1gds1/Rhobtb1/Scn5a/Sema5a/Shroom3/Slit2/Snta1/Spta1/Sptbn1/Ssh2/Stard13/Svil/Tesk2/Tgfb2/Tnik/Tnnt2/Tpm1/Ttn/Twf2/Ush1c/Xirp1/Xirp2/Zeb2,111
GO:0051146,striated muscle cell differentiation,63/902,177/6335,0.3559322033898305,2.4998120936525234,8.24567261908712,4.3982158975930035e-13,5.672232435929111e-10,4.387413262055056e-10,Actc1/Adprhl1/Adra1a/Alpk2/Alpk3/Ankrd23/Bcl2/Bdnf/Bmpr1a/Camk2d/Casq2/Cdh2/Csrp3/Cxadr/Epc1/Fhl2/Fhod3/Fktn/Flnc/Gsk3b/Hdac4/Hdac9/Hopx/Igfbp5/Itgb1/Lmod2/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myl2/Mylk3/Myo18b/Myocd/Myom2/Myoz2/Neb/Nebl/Pdlim5/Pgm5/Popdc3/Ppara/Prickle1/Prkd1/Prox1/Rarb/Rbm24/Rcan1/Ripor2/Rpl3l/Sik1/Slc8a1/Smyd1/Smyd3/Sox6/Spag9/Tnnt2/Tpm1/Trim63/Ttn/Vegfa/Xirp1,63
GO:0008015,blood circulation,74/902,227/6335,0.32599118942731276,2.2895279213104507,8.061513957521798,6.424964156874204e-13,5.745710098068384e-10,4.444247475563771e-10,Abcc8/Abcc9/Actc1/Adra1a/Agtr1a/Angpt1/Ankrd11/Arhgef12/Atp1a1/Atp1b1/Cacna1c/Cacnb2/Camk2d/Casq2/Ccn2/Csrp3/Cxadr/Dnm1l/Dsg2/Dsp/Ednra/Ext1/Fermt2/Gja1/Hdac4/Hopx/Itga1/Itga9/Itgb1/Kcnd3/Kcnip2/Kcnn2/Kcnq1/Lnpep/Mef2a/Mybpc3/Myh6/Myh7/Myh7b/Myl2/Myl3/Myl4/Mylk3/Nampt/Nav2/Ncald/Nedd4l/Nppa/Nppb/Npr3/Nr3c2/Per2/Pik3r1/Pln/Ppara/Rap1gds1/Rps6ka2/Scn5a/Sgcg/Slc23a2/Slc8a1/Slit2/Snta1/Stk39/Tbx20/Tgfb2/Thrb/Tmem65/Tnni3/Tnnt2/Tpm1/Ttn/Vegfa/Zeb2,74
GO:0055002,striated muscle cell development,48/902,117/6335,0.41025641025641024,2.881346295980442,8.368714661974792,7.425316746017556e-13,5.745710098068384e-10,4.444247475563771e-10,Actc1/Adprhl1/Adra1a/Alpk2/Alpk3/Ankrd23/Bcl2/Bmpr1a/Camk2d/Casq2/Csrp3/Cxadr/Fhl2/Fhod3/Flnc/Gsk3b/Hdac4/Hdac9/Itgb1/Lmod2/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myl2/Mylk3/Myo18b/Myocd/Myom2/Myoz2/Neb/Nebl/Pdlim5/Pgm5/Ppara/Prickle1/Prkd1/Prox1/Rcan1/Slc8a1/Smyd3/Tnnt2/Tpm1/Trim63/Ttn/Vegfa/Xirp1,48
GO:0060537,muscle tissue development,79/902,254/6335,0.3110236220472441,2.184406480786354,7.849691292877351,1.6575416163644167e-12,1.0688380856189882e-9,8.26735230758603e-10,Abcc9/Actc1/Adamts9/Adprhl1/Adra1a/Alpk2/Alpk3/Angpt1/Ankrd1/Atf3/Bcl2/Bdnf/Bmpr1a/Btg2/Camk2d/Csrp3/Cxadr/Dsg2/Dsp/Ednra/Eln/Fhl2/Fhod3/Fktn/Gja1/Gpcpd1/Gsk3b/Hdac4/Hdac9/Heg1/Hspa8/Igfbp5/Itgb1/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myh7/Myl2/Myl3/Mylk3/Myo18b/Myocd/Myoz2/Neb/Nebl/Pdlim5/Pgm5/Pln/Popdc3/Ppara/Prickle1/Prox1/Rarb/Rbfox1/Rbm24/Rbpj/Rcan1/Rpl3l/Schip1/Sgcg/Sik1/Slc8a1/Smyd1/Sox6/Svil/Tbx20/Tcf7l2/Tgfb2/Tnni3/Tnnt2/Tpm1/Ttn/Vegfa/Xirp1/Xirp2/Zfp950/Zfpm2,79
GO:0014706,striated muscle tissue development,76/902,243/6335,0.31275720164609055,2.1965818984789176,7.749756622818924,3.3091910307519726e-12,1.7407339877656657e-9,1.3464397783237305e-9,Abcc9/Actc1/Adamts9/Adprhl1/Adra1a/Alpk2/Alpk3/Angpt1/Ankrd1/Atf3/Bcl2/Bdnf/Bmpr1a/Btg2/Camk2d/Csrp3/Cxadr/Dsg2/Dsp/Ednra/Eln/Fhl2/Fhod3/Fktn/Gja1/Gpcpd1/Gsk3b/Hdac4/Hdac9/Heg1/Hspa8/Itgb1/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myh7/Myl2/Myl3/Mylk3/Myo18b/Myocd/Myoz2/Neb/Nebl/Pdlim5/Pgm5/Pln/Popdc3/Ppara/Prickle1/Prox1/Rarb/Rbfox1/Rbm24/Rbpj/Rcan1/Rpl3l/Sgcg/Sik1/Slc8a1/Smyd1/Sox6/Svil/Tbx20/Tcf7l2/Tgfb2/Tnni3/Tnnt2/Tpm1/Ttn/Vegfa/Xirp1/Xirp2/Zfpm2,76
GO:0003013,circulatory system process,75/902,239/6335,0.3138075313807531,2.20395865997458,7.73055175397452,3.850515090136448e-12,1.7407339877656657e-9,1.3464397783237305e-9,Abcc8/Abcc9/Actc1/Adra1a/Agtr1a/Angpt1/Ankrd11/Arhgef12/Atp1a1/Atp1b1/Cacna1c/Cacnb2/Camk2d/Casq2/Ccn2/Csrp3/Cxadr/Dnm1l/Dsg2/Dsp/Ednra/Ext1/Fermt2/Gja1/Hdac4/Heg1/Hopx/Itga1/Itga9/Itgb1/Kcnd3/Kcnip2/Kcnn2/Kcnq1/Lnpep/Mef2a/Mybpc3/Myh6/Myh7/Myh7b/Myl2/Myl3/Myl4/Mylk3/Nampt/Nav2/Ncald/Nedd4l/Nppa/Nppb/Npr3/Nr3c2/Per2/Pik3r1/Pln/Ppara/Rap1gds1/Rps6ka2/Scn5a/Sgcg/Slc23a2/Slc8a1/Slit2/Snta1/Stk39/Tbx20/Tgfb2/Thrb/Tmem65/Tnni3/Tnnt2/Tpm1/Ttn/Vegfa/Zeb2,75
GO:0042692,muscle cell differentiation,73/902,230/6335,0.3173913043478261,2.2291285067000866,7.7364339279867425,4.094093003986324e-12,1.7407339877656657e-9,1.3464397783237305e-9,Actc1/Adprhl1/Adra1a/Alpk2/Alpk3/Ankrd17/Ankrd23/Bcl2/Bdnf/Bmpr1a/Camk2d/Casq2/Cdh2/Csrp3/Cxadr/Dpf3/Dysf/Ednra/Epc1/Fbxo40/Fhl2/Fhod3/Fktn/Flnc/Gsk3b/Hdac4/Hdac9/Hopx/Igfbp5/Itgb1/Lama2/Lmod2/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myl2/Mylk3/Myo18b/Myocd/Myom2/Myoz2/Neb/Nebl/Pdlim5/Pgm5/Popdc3/Ppara/Prickle1/Prkd1/Prox1/Qki/Rarb/Rbm24/Rcan1/Ripor2/Rora/Rpl3l/Sik1/Slc8a1/Smyd1/Smyd3/Sox6/Spag9/Svil/Tnnt2/Tpm1/Trim63/Ttn/Vegfa/Wnt5b/Xirp1,73
GO:0055001,muscle cell development,50/902,130/6335,0.38461538461538464,2.701262152481665,7.985359439055084,4.535035425768706e-12,1.7407339877656657e-9,1.3464397783237305e-9,Actc1/Adprhl1/Adra1a/Alpk2/Alpk3/Ankrd23/Bcl2/Bmpr1a/Camk2d/Casq2/Csrp3/Cxadr/Dysf/Ednra/Fhl2/Fhod3/Flnc/Gsk3b/Hdac4/Hdac9/Itgb1/Lmod2/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myl2/Mylk3/Myo18b/Myocd/Myom2/Myoz2/Neb/Nebl/Pdlim5/Pgm5/Ppara/Prickle1/Prkd1/Prox1/Rcan1/Slc8a1/Smyd3/Tnnt2/Tpm1/Trim63/Ttn/Vegfa/Xirp1,50
