celltype,condition,aspect,union,count_wo_condition,count_allcells,count_veronika,intersect_wo_condition_allcells,intersect_wo_condition_veronika,intersect_allcells_veronika,intersect_all
Cardiomyocyte,F1_Aged,imbalance,3269,2886.0,2872.0,3212.0,2872.0,2829.0,2816.0,2816.0
Cardiomyocyte,F1_Young,imbalance,3087,2691.0,2683.0,3015.0,2682.0,2619.0,2612.0,2611.0
Coronary_EC,F1_Aged,imbalance,226,114.0,101.0,225.0,101.0,113.0,100.0,100.0
Coronary_EC,F1_Young,imbalance,184,98.0,97.0,183.0,95.0,97.0,96.0,94.0
Endocardial_EC,F1_Aged,imbalance,256,100.0,103.0,254.0,96.0,98.0,101.0,94.0
Endocardial_EC,F1_Young,imbalance,185,86.0,81.0,181.0,80.0,82.0,77.0,76.0
Fibroblast,F1_Aged,imbalance,751,449.0,432.0,749.0,429.0,447.0,430.0,427.0
Fibroblast,F1_Young,imbalance,564,319.0,312.0,558.0,309.0,313.0,306.0,303.0
Lymphatic_EC,F1_Aged,imbalance,26,,,26.0,,,,
Lymphatic_EC,F1_Young,imbalance,21,,,21.0,,,,
M1,F1_Aged,imbalance,12,,,12.0,,,,
M1,F1_Young,imbalance,1,,,1.0,,,,
M2,F1_Aged,imbalance,154,95.0,92.0,153.0,90.0,94.0,91.0,89.0
M2,F1_Young,imbalance,144,80.0,74.0,141.0,73.0,77.0,71.0,70.0
MacFib,F1_Aged,imbalance,247,110.0,100.0,244.0,100.0,107.0,97.0,97.0
MacFib,F1_Young,imbalance,110,54.0,58.0,108.0,54.0,52.0,56.0,52.0
Mesothelial,F1_Aged,imbalance,132,59.0,57.0,132.0,52.0,59.0,57.0,52.0
Mesothelial,F1_Young,imbalance,114,53.0,51.0,112.0,50.0,51.0,49.0,48.0
Myeloid,F1_Aged,imbalance,38,19.0,15.0,37.0,15.0,18.0,14.0,14.0
Myeloid,F1_Young,imbalance,27,3.0,4.0,26.0,3.0,2.0,3.0,2.0
Pericytes,F1_Aged,imbalance,338,181.0,177.0,335.0,174.0,178.0,174.0,171.0
Pericytes,F1_Young,imbalance,282,182.0,181.0,280.0,180.0,180.0,179.0,178.0
Smooth_Muscle,F1_Aged,imbalance,29,,,29.0,,,,
Smooth_Muscle,F1_Young,imbalance,37,,,37.0,,,,
Unknown_1,F1_Aged,imbalance,50,30.0,28.0,48.0,28.0,28.0,26.0,26.0
Unknown_1,F1_Young,imbalance,14,9.0,9.0,12.0,9.0,7.0,7.0,7.0
