gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young
2310014F06Rik,0.4316,1,0.2613,0.00357204034707371
Adam22,0.6169,0.657545240460456,0.7761,4.2129146167738e-4
Adgrl3,0.4258,0.140745865144569,0.3401,8.5665933086297e-4
Ago3,0.5089,0.873296202547146,0.402,0.0844630754336957
Ano4,0.331,0.145365239735733,0.3151,0.0190635535637628
Asb14,0.5562,0.725685640155993,0.5885,0.0724806116952121
Atp6v1h,0.4551,0.900058107635346,0.6183,0.0919817470055686
Atrn,0.5202,0.817933529570044,0.3452,0.0997938271431004
Atxn7,0.5375,0.734231406873378,0.6615,0.00551089479676781
Babam2,0.5453,0.75777456866821,0.609,0.0272533148918257
Bag3,0.5028,0.957824070672676,0.6194,0.0465769399995843
Baz2b,0.4866,0.982360932524831,0.3632,0.0644372300178056
Bcl2,0.4559,1,0.3771,0.0684898691308618
Cab39,0.4549,0.56862580729719,0.6344,0.0919817470055686
Camkmt,0.4906,1,0.3712,0.0313338101348143
Cap2,0.4097,0.126740024646103,0.4046,0.0176072729416091
Cbfb,0.5292,0.904499983900535,0.7077,0.00537614791928313
Ccdc141,0.4934,1,0.5588,0.040509449546646203
Ccdc50,0.3522,0.127674684267293,0.285,0.0194744797144218
Cdk19,0.5054,1,0.3481,0.0234844349336771
Cemip2,0.5175,0.682529679531391,0.6458,0.0783671933183478
Chrm2,0.468,0.976175694870537,0.4021,0.042325790809662
Clasp1,0.4704,1,0.577,0.0655714990874906
Cmya5,0.5805,0.105180453077468,0.581,0.042325790809662
Coro6,0.5624,0.243045358749802,0.6278,0.0111567890401239
Cpeb3,0.5227,0.81004191433293,0.5775,0.00559086873373164
Cyrib,0.5296,0.951018711115781,0.6669,0.0200732402645537
Cyth1,0.5612,0.470322242482523,0.6382,0.0834872501786957
D830024N08Rik,0.5379,1,0.6138,0.0957264863763392
Dapk1,0.5126,0.780274089312644,0.666,0.0686182069759318
Dcp1b,0.5737,0.542932140194836,0.6416,0.0949614800265339
Dennd5b,0.4563,0.585753266850622,0.4037,0.0985549976113683
Dpf3,0.4967,1,0.3794,0.0919817470055686
Egfr,0.4549,0.796968568654916,0.3443,0.0173409206005529
Eif3h,0.4288,0.362082793079669,0.3562,0.087813492242448
Foxn3,0.4338,0.353251076776552,0.5964,0.0103776525391261
Frmd4a,0.4569,1,0.3635,0.0503253450498523
Fyn,0.5639,0.407418823408497,0.6707,0.00246253923196086
Gbe1,0.5052,1,0.6365,6.0441613591569e-4
Gipc2,0.7044,0.203555777219248,0.6767,0.0724806116952121
Gm29237,0.5138,1,0.6147,0.0880272261112284
Gm31013,0.5207,0.999187248580155,0.344,0.0491525471838055
Gm36827,0.5829,0.410385689230021,0.6263,0.0923129594851408
Gnai1,0.3437,0.181950999961913,0.2923,0.056221677308679
Gon4l,0.4153,0.565674406334848,0.3304,0.0636334077684239
Gpbp1l1,0.5995,0.217658557938256,0.6146,0.0491525471838055
Hdac9,0.4794,1,0.6477,0.00287380363440352
Heg1,0.4727,0.526604255152176,0.5896,0.055905413583386
Hip1,0.6518,0.109665123194682,0.6646,0.0938450829779662
Hnrnpc,0.5799,0.195567717512975,0.6063,0.0572060454366157
Hopx,0.3758,0.424679109196956,0.2326,0.00356762482091217
Igf2r,0.5343,0.493738052280582,0.6514,0.005303852820206
Kansl2,0.4688,1,0.2741,0.00606445267433763
Khdrbs3,0.54,1,0.6661,0.0919817470055686
Kitl,0.5521,1,0.7501,0.0011267085649191099
Kremen1,0.6163,0.345196666399723,0.6901,0.00572022115588264
Larp4,0.5131,1,0.6317,0.0577693842073736
Lims1,0.5171,0.319787467446995,0.58,0.0352696679327802
Lncpint,0.4541,1,0.4345,0.00252574780730364
Lonp2,0.5917,0.191481212354739,0.5995,0.0970746565751098
Lrch1,0.5918,0.358780542414124,0.6938,8.25082633465517e-5
Lrrc10,0.396,0.192104233293963,0.3765,0.0826743085007815
Lrtm1,0.3759,0.263551884015789,0.3433,0.0184245573349312
Metap1d,0.572,0.455052194896015,0.7113,0.0202762940900047
Mir133a-1hg,0.5533,0.426112255666411,0.6052,0.0192549594294314
Morrbid,0.5028,1,0.5964,0.0512117649042206
