ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,condition
GO:0097553,calcium ion transmembrane import into cytosol,5/12,32/1491,0.15625,19.4140625,9.481927412565938,2.349851571374487e-6,0.0018704818508140917,0.0016844725474800273,Adra1a/Gpr39/Itpr2/Plcb1/Ryr2,5,aged_only
GO:0070588,calcium ion transmembrane transport,5/12,50/1491,0.1,12.424999999999999,7.399611023990276,2.3006721064281326e-5,0.0031202298963202025,0.002809939909275401,Adra1a/Gpr39/Itpr2/Plcb1/Ryr2,5,aged_only
GO:0051208,sequestering of calcium ion,4/12,24/1491,0.16666666666666666,20.708333333333332,8.764762111325732,2.3519320826534193e-5,0.0031202298963202025,0.002809939909275401,Gpr39/Itpr2/Plcb1/Ryr2,4,aged_only
GO:0051209,release of sequestered calcium ion into cytosol,4/12,24/1491,0.16666666666666666,20.708333333333332,8.764762111325732,2.3519320826534193e-5,0.0031202298963202025,0.002809939909275401,Gpr39/Itpr2/Plcb1/Ryr2,4,aged_only
GO:0051282,regulation of sequestering of calcium ion,4/12,24/1491,0.16666666666666666,20.708333333333332,8.764762111325732,2.3519320826534193e-5,0.0031202298963202025,0.002809939909275401,Gpr39/Itpr2/Plcb1/Ryr2,4,aged_only
GO:0051283,negative regulation of sequestering of calcium ion,4/12,24/1491,0.16666666666666666,20.708333333333332,8.764762111325732,2.3519320826534193e-5,0.0031202298963202025,0.002809939909275401,Gpr39/Itpr2/Plcb1/Ryr2,4,aged_only
GO:0006816,calcium ion transport,5/12,57/1491,0.08771929824561403,10.899122807017543,6.862134632200865,4.420377690875167e-5,0.0050266009170523325,0.004526732642836075,Adra1a/Gpr39/Itpr2/Plcb1/Ryr2,5,aged_only
GO:0051651,maintenance of location in cell,4/12,37/1491,0.10810810810810811,13.432432432432433,6.895637719614134,1.381345336922175e-4,0.013744386102375642,0.012377581242684227,Gpr39/Itpr2/Plcb1/Ryr2,4,aged_only
GO:0051235,maintenance of location,4/12,39/1491,0.10256410256410256,12.743589743589743,6.6919014492528754,1.7053336833614221e-4,0.01508272902172991,0.01358283319729975,Gpr39/Itpr2/Plcb1/Ryr2,4,aged_only
GO:0098662,inorganic cation transmembrane transport,5/12,92/1491,0.05434782608695652,6.752717391304348,5.12929604805826,4.5036963804246435e-4,0.032466484126901604,0.029237867879423427,Adra1a/Gpr39/Itpr2/Plcb1/Ryr2,5,aged_only
GO:0030001,metal ion transport,5/12,95/1491,0.05263157894736842,6.5394736842105265,5.024435405627301,5.241425087213847e-4,0.032466484126901604,0.029237867879423427,Adra1a/Gpr39/Itpr2/Plcb1/Ryr2,5,aged_only
GO:0098655,monoatomic cation transmembrane transport,5/12,95/1491,0.05263157894736842,6.5394736842105265,5.024435405627301,5.241425087213847e-4,0.032466484126901604,0.029237867879423427,Adra1a/Gpr39/Itpr2/Plcb1/Ryr2,5,aged_only
GO:0006874,intracellular calcium ion homeostasis,4/12,52/1491,0.07692307692307693,9.557692307692308,5.656237182805503,5.30231524685579e-4,0.032466484126901604,0.029237867879423427,Gpr39/Itpr2/Plcb1/Ryr2,4,aged_only
GO:0098660,inorganic ion transmembrane transport,5/12,98/1491,0.05102040816326531,6.339285714285714,4.924025702298594,6.068199557851777e-4,0.03450204891464296,0.031071006758624512,Adra1a/Gpr39/Itpr2/Plcb1/Ryr2,5,aged_only
GO:0055074,calcium ion homeostasis,4/12,55/1491,0.07272727272727272,9.036363636363637,5.468439036805056,6.592307638038655e-4,0.034780269336601846,0.0313215596644087,Gpr39/Itpr2/Plcb1/Ryr2,4,aged_only
GO:0034220,monoatomic ion transmembrane transport,5/12,101/1491,0.04950495049504951,6.150990099009902,4.827737767367925,6.991008911879767e-4,0.034780269336601846,0.0313215596644087,Adra1a/Gpr39/Itpr2/Plcb1/Ryr2,5,aged_only
GO:0006812,monoatomic cation transport,5/12,110/1491,0.045454545454545456,5.647727272727273,4.560787202546672,0.001040905998074033,0.04873889261570178,0.043892073355319916,Adra1a/Gpr39/Itpr2/Plcb1/Ryr2,5,aged_only
