"celltype","gene","term","estimate","se","z","p"
"Cardiomyocyte","Airn","sexM",0.982727805617591,0.0763506010218663,12.8712517316811,1.05126032611541e-36
"Cardiomyocyte","Tmem65","sexM",-1.01588478019595,0.101924871097388,-9.96699597711812,1.24753150060368e-21
"Cardiomyocyte","Lama2","sexM",0.265919302053788,0.0316491204330505,8.40210718071313,6.04330897153644e-17
"Cardiomyocyte","Celf2","sexM",0.225644311068477,0.0305705762155587,7.38109447062491,1.9558598209278e-13
"Cardiomyocyte","Gpcpd1","sexM",0.239362554495028,0.0336002340946734,7.12383591794599,1.25618093062938e-12
"Cardiomyocyte","Myzap","sexM",0.214250488707433,0.0330650314675009,6.47966988684153,1.08682209978723e-10
"Cardiomyocyte","Lrrc2","sexM",0.31267489775482,0.0538607897149733,5.80524161285917,7.70983479432229e-09
"Cardiomyocyte","Ppm1l","sexM",0.707413362799103,0.130037428912202,5.44007497469616,7.49207955022092e-08
"Cardiomyocyte","Mpp7","sexM",1.22326820361135,0.22533333895313,5.42870491022099,1.97152084565355e-07
"Cardiomyocyte","Efna5","sexM",-0.262724790671495,0.0513625180422382,-5.11510729391115,3.40041225608778e-07
"Cardiomyocyte","Gm12295","sexM",0.54312900047828,0.108904338899175,4.98721176739444,7.9151758000148e-07
"Cardiomyocyte","Pdzrn3","sexM",-0.334870185402374,0.0709408202876754,-4.72041603190414,2.54821470771213e-06
"Cardiomyocyte","Shld1","sexM",0.282947197007553,0.0626754589906378,4.51448145038425,6.98429645338117e-06
"Cardiomyocyte","Gja1","sexM",0.823201291373984,0.179003323033388,4.59880452174869,7.15248188700104e-06
"Cardiomyocyte","Clasp1","sexM",0.230039819818249,0.0516791156158915,4.45131107753538,9.05450680976717e-06
"Cardiomyocyte","Pdzd2","sexM",-0.445267532263199,0.100183369306421,-4.44452542718245,1.06223273267208e-05
"Cardiomyocyte","Cacna2d1","sexM",-0.226556505617744,0.0514145528806562,-4.40646651432774,1.10300295295621e-05
"Cardiomyocyte","Ednra","sexM",-0.936344174320884,0.22131513418421,-4.23081854646924,3.81984560233358e-05
"Cardiomyocyte","Foxn3","sexM",0.393335089591802,0.0947952044362582,4.14931421827658,3.90701499832489e-05
"Cardiomyocyte","Tnfaip8","sexM",0.663174891876754,0.160872180145103,4.12237150810404,4.35657113320391e-05
"Cardiomyocyte","Nfe2l2","sexM",1.53988497286478,0.355850165940309,4.327340887409,5.23025675074589e-05
"Cardiomyocyte","Setbp1","sexM",0.362852578746501,0.0896172205080683,4.04891578526287,5.85594001631258e-05
"Cardiomyocyte","Kcnip4","sexM",1.10016464541229,0.274710916703019,4.0048086134183,7.98556218074577e-05
"Cardiomyocyte","Ank","sexM",0.221424689632718,0.0575411940736183,3.8481073115971,0.00012463563749123
"Cardiomyocyte","Magi1","sexM",-0.239593077868985,0.0631843268745759,-3.79197009322564,0.000155572096558869
"Cardiomyocyte","Grb10","sexM",-1.37374279935721,0.353657758937448,-3.88438473252947,0.000163647795846395
"Cardiomyocyte","Msi2","sexM",0.130725420790409,0.035174335212499,3.71650011295613,0.000206881328102716
"Cardiomyocyte","Pln","sexM",0.09929656035199,0.0267467813388398,3.71246764588449,0.000208061710884513
"Cardiomyocyte","Clip1","sexM",0.136193901416503,0.0366722630881409,3.71381229157207,0.000209419313610245
"Cardiomyocyte","Trdn","sexM",-0.0786607782019708,0.0212789085997544,-3.6966547336398,0.00022099877360913
"Cardiomyocyte","Phtf2","sexM",-0.948877653205124,0.264905953324263,-3.58194159586755,0.000522406653585953
"Cardiomyocyte","Adk","sexM",0.0852833259670084,0.0249427233122496,3.41916658014344,0.000634802425826404
"Cardiomyocyte","Malat1","sexM",0.0197808430578815,0.00581633466623675,3.40091211957031,0.000676283157979128
"Cardiomyocyte","Dst","sexM",0.11831894808701,0.0353282454748189,3.34913173571965,0.000823144691500439
"Cardiomyocyte","Pdzrn4","sexM",0.372861649411097,0.111550047942048,3.34255032866328,0.000892716441630095
"Cardiomyocyte","Daam1","sexM",0.219289500200388,0.0661697871692382,3.31404270108237,0.000955048661107125
"Cardiomyocyte","Dcaf6","sexM",-0.424610056826942,0.127752879913809,-3.32368285641322,0.000997381595091282
"Cardiomyocyte","Tbc1d4","sexM",0.252150538751452,0.0767353786660703,3.28597503700003,0.00105754253335787
"Cardiomyocyte","Cradd","sexM",0.321324285566616,0.0982990960736131,3.26884273000828,0.00113690375759413
