ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0007166,cell surface receptor signaling pathway,10,0.8035491833087166,1.6049967469866868,0.032586294861390024,0.6304945054945055,0.6304945054945055,3,"tags=20%, list=7%, signal=24%",Grm1/Zeb1,BL6-biased
GO:0009966,regulation of signal transduction,12,0.770484163677126,1.5477919690750264,0.0469208211143695,0.6304945054945055,0.6304945054945055,5,"tags=25%, list=11%, signal=30%",Grm1/Zeb1/Rgs6,BL6-biased
GO:0040007,growth,11,-0.7007372107781588,-1.5371848200723064,0.040295990673308975,0.6304945054945055,0.6304945054945055,4,"tags=18%, list=9%, signal=22%",Fmn1/Prkg1,CAST-biased
GO:0010647,positive regulation of cell communication,10,0.7654254336481643,1.5288489573315847,0.09566517189835576,0.6304945054945055,0.6304945054945055,1,"tags=10%, list=2%, signal=13%",Grm1,BL6-biased
GO:0023056,positive regulation of signaling,10,0.7654254336481643,1.5288489573315847,0.09566517189835576,0.6304945054945055,0.6304945054945055,1,"tags=10%, list=2%, signal=13%",Grm1,BL6-biased
GO:0048589,developmental growth,10,-0.7155100860877854,-1.501691736293722,0.0433546165201905,0.6304945054945055,0.6304945054945055,4,"tags=30%, list=9%, signal=35%",Alcam/Fmn1/Prkg1,CAST-biased
GO:0010646,regulation of cell communication,14,0.730340123068939,1.480497057521441,0.06518518518518518,0.6304945054945055,0.6304945054945055,5,"tags=21%, list=11%, signal=28%",Grm1/Zeb1/Rgs6,BL6-biased
GO:0023051,regulation of signaling,14,0.730340123068939,1.480497057521441,0.06518518518518518,0.6304945054945055,0.6304945054945055,5,"tags=21%, list=11%, signal=28%",Grm1/Zeb1/Rgs6,BL6-biased
GO:0048522,positive regulation of cellular process,17,0.699770824400389,1.4510834983645482,0.06970128022759602,0.6304945054945055,0.6304945054945055,5,"tags=24%, list=11%, signal=34%",Grm1/Zeb1/Hdac9/Rgs6,BL6-biased
GO:0000902,cell morphogenesis,11,-0.6545930999794853,-1.435959959219425,0.10119047619047619,0.6304945054945055,0.6304945054945055,2,"tags=27%, list=4%, signal=34%",Alcam/Lama2/Prkg1,CAST-biased
GO:0030030,cell projection organization,10,-0.6839008031335632,-1.43535109354742,0.0990990990990991,0.6304945054945055,0.6304945054945055,2,"tags=30%, list=4%, signal=37%",Alcam/Lama2/Prkg1,CAST-biased
GO:0120036,plasma membrane bounded cell projection organization,10,-0.6839008031335632,-1.43535109354742,0.0990990990990991,0.6304945054945055,0.6304945054945055,2,"tags=30%, list=4%, signal=37%",Alcam/Lama2/Prkg1,CAST-biased
GO:0072359,circulatory system development,12,-0.6414167367439302,-1.4167690954603591,0.084375,0.6304945054945055,0.6304945054945055,2,"tags=83%, list=4%, signal=109%",Fhod3/Cacna1c/Myh6/Errfi1/Ext1/Cdc42/Vav3/Sash1/Clic4/Prkg1,CAST-biased
