ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0009410,response to xenobiotic stimulus,28/820,62/3988,9.676517542028917e-6,0.009125304078034401,0.008521804606247872,Aldh1a1/Aox1/Bcl2/Cyp1b1/Cyp2d22/Dpep1/Errfi1/Fmo1/Fmo2/Gsta3/Kcnq1/Lipa/Mapk9/Mat2a/Mmp2/Myo6/Nfe2l2/Nfkbiz/Pam/Pde4a/Pde4b/Ptprm/Rap2a/Rb1/Rora/Ube2b/Vav3/Ywhaz,28
GO:0007155,cell adhesion,122/820,422/3988,9.709051917586078e-6,0.009125304078034401,0.008521804606247872,Aatf/Abi3bp/Adamts12/Adk/Alcam/Angpt1/Anxa1/Apbb1ip/Arpc2/Atm/Axl/B4galt1/Bcl2/Bmp4/Carmil1/Cav1/Ccn1/Cd2ap/Cd46/Cd55/Cdc42/Cdh11/Cdh19/Cdon/Cntnap5b/Col3a1/Col4a3/Col6a1/Col6a6/Col8a1/Cyp1b1/Dchs2/Dlg1/Dock1/Dpt/Dst/Dusp1/Efna5/Efr3a/Egfr/Epha4/Ext1/Fap/Fat3/Fblim1/Fbln1/Fbln5/Fbn1/Fer/Fgl2/Flrt2/Fmn1/Gpam/Gsk3b/Hmcn2/Igf1/Il15/Il1rap/Il1rl2/Il4ra/Ildr2/Itga8/Itga9/Itgb3/Jak1/Jak2/Kank1/Kirrel1/Lama2/Lamb1/Lamc1/Lgals8/Lsamp/Magi1/Mdga2/Mia3/Mmp2/Mpdz/Mxra8/Myh9/Nck1/Ndfip1/Nfat5/Nfkbiz/Ntn1/Pag1/Pcdh7/Pcdha11/Pde3b/Pde5a/Phldb2/Pkp4/Plpp3/Plxna4/Postn/Ppard/Prkg1/Ptprm/Pxdn/Ret/Rpsa/Sdk1/Sema5a/Serpine2/Slit2/Smarca2/Smoc2/Socs5/Sox13/Spon1/Spta1/St6gal1/Stk10/Syk/Tek/Tenm3/Tgfb2/Thbs2/Ubash3b/Utrn/Vav3/Vit,122
GO:0019748,secondary metabolic process,11/820,15/3988,1.577095013611977e-5,0.009125304078034401,0.008521804606247872,Akr1c14/Appl1/Bcl2/Cyp1b1/Fmo1/Fmo2/Gsta3/Nfe2l2/Pam/Trpc1/Ugt1a7c,11
GO:0030198,extracellular matrix organization,44/820,118/3988,1.5962631040293415e-5,0.009125304078034401,0.008521804606247872,Abi3bp/Adamts10/Adamts12/Adamts5/Adamtsl1/Aebp1/Anxa2/B4galt1/Cav1/Ccn1/Cflar/Col1a2/Col3a1/Col4a3/Col4a4/Col8a1/Colgalt1/Cst3/Cyp1b1/Ddr2/Dpt/Ext1/Fap/Fbln1/Fbln5/Flrt2/Itga8/Itgb3/Lama2/Lamb1/Lamc1/Ltbp4/Mia3/Mmp16/Mmp2/Phldb2/Postn/Prdm5/Pxdn/Rb1/Sema5a/Smoc2/Tgfb2/Vit,44
GO:0043062,extracellular structure organization,44/820,118/3988,1.5962631040293415e-5,0.009125304078034401,0.008521804606247872,Abi3bp/Adamts10/Adamts12/Adamts5/Adamtsl1/Aebp1/Anxa2/B4galt1/Cav1/Ccn1/Cflar/Col1a2/Col3a1/Col4a3/Col4a4/Col8a1/Colgalt1/Cst3/Cyp1b1/Ddr2/Dpt/Ext1/Fap/Fbln1/Fbln5/Flrt2/Itga8/Itgb3/Lama2/Lamb1/Lamc1/Ltbp4/Mia3/Mmp16/Mmp2/Phldb2/Postn/Prdm5/Pxdn/Rb1/Sema5a/Smoc2/Tgfb2/Vit,44
GO:0045229,external encapsulating structure organization,44/820,118/3988,1.5962631040293415e-5,0.009125304078034401,0.008521804606247872,Abi3bp/Adamts10/Adamts12/Adamts5/Adamtsl1/Aebp1/Anxa2/B4galt1/Cav1/Ccn1/Cflar/Col1a2/Col3a1/Col4a3/Col4a4/Col8a1/Colgalt1/Cst3/Cyp1b1/Ddr2/Dpt/Ext1/Fap/Fbln1/Fbln5/Flrt2/Itga8/Itgb3/Lama2/Lamb1/Lamc1/Ltbp4/Mia3/Mmp16/Mmp2/Phldb2/Postn/Prdm5/Pxdn/Rb1/Sema5a/Smoc2/Tgfb2/Vit,44
GO:0030334,regulation of cell migration,107/820,374/3988,6.0247763745968765e-5,0.029521404235524695,0.027569014297591423,Adarb1/Ago2/Angpt1/Anxa1/Apoe/Appl1/Arpc2/Atm/Atp8a1/Bcas3/Bcl2/Bmp4/Bmper/Camk1d/Camk2d/Carmil1/Cav1/Ccl11/Ccn1/Cdc42/Cdh11/Clic4/Col3a1/Ctsh/Cxcl14/Cyp1b1/Dapk2/Ddr2/Dock1/Dock4/Dpep1/Dpysl3/Dusp1/Egfr/Epha4/Evl/F3/Fbln1/Fer/Fgf7/Fgfr1/Flrt2/Gpi1/Gsk3b/Hdac9/Igf1/Igf1r/Igfbp3/Il33/Itgb3/Jak2/Kank1/Krit1/Lama2/Lamb1/Ldb2/Mapre2/Mcc/Mctp1/Mcu/Mia3/Mmp2/Mtus1/Myh9/Nav3/Nck1/Nfe2l2/Nisch/Nox4/Ntn1/Ntrk3/Pdgfd/Phldb2/Plpp3/Plxna4/Podn/Postn/Ppard/Ppp2r3a/Prkd1/Prkg1/Ptprm/Rap2a/Ret/Rffl/Rhoj/Rras2/Rufy3/Sash1/Sema3c/Sema5a/Slit2/Smoc2/Smurf2/Sp100/Sparc/Srgap1/Srgap2/Stk10/Stk39/Synpo2/Tek/Tgfb2/Tlr4/Vegfc/Vim/Zmynd8,107
GO:0009187,cyclic nucleotide metabolic process,8/820,10/3988,9.382070799572922e-5,0.03397374629738015,0.03172690194351014,Adcy7/Cacnb4/Gucy1a1/Gucy1b1/Pde1a/Pde4a/Pde5a/Rora,8
GO:0052652,cyclic purine nucleotide metabolic process,8/820,10/3988,9.382070799572922e-5,0.03397374629738015,0.03172690194351014,Adcy7/Cacnb4/Gucy1a1/Gucy1b1/Pde1a/Pde4a/Pde5a/Rora,8
GO:0030199,collagen fibril organization,14/820,25/3988,9.904882302443191e-5,0.03397374629738015,0.03172690194351014,Adamts12/Aebp1/Anxa2/Col1a2/Col3a1/Colgalt1/Cyp1b1/Ddr2/Dpt/Ext1/Mia3/Pxdn/Rb1/Tgfb2,14
