ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0071514,genomic imprinting,11,-0.9724028841176353,-1.7939660028032638,3.365342055919872e-6,0.012158980848038497,0.01158031913768638,8,"tags=27%, list=0%, signal=27%",Meg3/Kcnq1ot1/Airn
GO:0043045,epigenetic programming of gene expression,16,-0.9619336757184576,-1.8313354395448824,8.291795972822377e-6,0.014979129424903623,0.014266253176398078,8,"tags=19%, list=0%, signal=19%",Meg3/Kcnq1ot1/Airn
GO:0071168,protein localization to chromatin,17,-0.9361988583811871,-1.7893841648432867,4.241757620089931e-5,0.05108490093794973,0.04865370407043503,43,"tags=12%, list=1%, signal=12%",Jarid2/Airn
GO:0030154,cell differentiation,1273,-0.5439615152999401,-1.1506965783774044,8.968110738333242e-5,0.081004460243995,0.07714935264108254,671,"tags=19%, list=16%, signal=23%",Tnfrsf21/Medag/Slc4a7/Pard3/Fhod3/Kazn/Tshz3/Tcf4/B2m/Mbd1/Mib1/Dok5/Acvrl1/Igf1/Socs5/Atp9a/Magi1/Jak1/Rai14/Ntn1/Foxn2/Hdgfl3/Nr4a1/Ndrg1/Tjp2/Limd1/Wls/Fgf7/Irf2bp2/Nav3/Sh3glb1/Xrcc4/Esr1/Brdt/Myo6/Sos1/Rdx/Fbn1/Ntf3/Adarb1/Epb41l3/Ppard/Pawr/Epha4/Ppp1r9a/Zbtb16/Bin3/Plxnc1/Dst/Pals1/Bmp4/Herc1/H3f3b/Ptpra/Dnajb11/Ret/Fhl2/Nfkbia/Pecam1/Vps13b/Cdin1/Fosl2/Prkd1/Mitf/Stat5b/Herc2/Adamts15/Serpinh1/Heatr3/Atxn2/Ubash3b/Lnpk/Ror2/Mgll/Apc/Ntrk3/Btbd1/Hlf/Ckap5/Sipa1l1/Zhx3/Ccnt2/Mcl1/Nxn/Robo2/Nr3c1/Brinp3/Cd9/Plscr1/Selenbp1/Bend6/Uba6/Opa3/Bcl2/Rasgrf1/Stau2/Nav1/Abi3bp/Enpp1/Zswim6/Ptprm/Tiparp/Palld/Slc23a2/Ctnnd1/Abca5/Lama2/Zfp521/Epha7/Dag1/Nab1/Foxp2/Ptx3/B4galt1/Tgfb2/Ntrk2/Smad2/Tbx20/Sox6/Fubp1/Chsy1/Ddx17/Nf1/Cpeb1/Enpp2/Myh6/Rras2/Prrx1/Hmgb1/Cd34/Farp1/Pdgfra/Sdc4/Arhgap24/Tnik/Heg1/Dock10/Mtf2/Akap13/Prkg1/Pbx3/Itga5/Wdpcp/Axl/Cxcl5/Lncpint/Fgf10/Slit3/Poc1b/Aldh1a2/Vegfc/Itgb8/Col4a2/Dpysl3/Adgrl3/Apold1/Col14a1/Tox/Errfi1/Elf1/Fndc3b/S1pr3/Vcam1/Pim1/Adamts5/Ncor1/Map3k5/Tmtc3/Fmn2/Rbfox1/Abcb1b/Cep128/Tlr4/Hdac1/Angpt1/Apoe/Rgs6/Efemp1/Scyl2/Plcl2/Ackr3/Prickle2/Prex2/Nedd4/Cebpb/Vcan/Ifrd1/Thsd7a/Dock1/Col5a2/Raph1/Adam22/Prickle1/Spag9/Filip1/Smyd3/Ppfia2/Adamts1/Ccl2/Frmd6/Mllt3/Ttn/Flrt2/Pde3a/Serpine2/Map1b/Man2a1/Sdc2/Slc8a1/Tnfaip6/Il1r1/Abi1/Egfr/Fgl2/Crppa/Jarid2/Tnc/Sulf1/Col8a1/Homer1/Ntn4/Col4a1/Unc5c/Robo1/Ngf/Efna5/Il33/Plpp3/Timp3/Slit2/Col3a1/Prg4/Mdga2/Adamts9/Serpine1/Wwox/Meg3/Ugdh/Kcnq1ot1/Rian/Airn
GO:0001702,gastrulation with mouth forming second,10,-0.9539674332496494,-1.74064040099754,1.3537256477877087e-4,0.08151684609094986,0.0776373533792635,100,"tags=30%, list=2%, signal=29%",Prickle1/Plpp3/Ugdh
GO:0048869,cellular developmental process,1274,-0.5436652368694467,-1.1501206008915086,1.1676544730752034e-4,0.08151684609094986,0.0776373533792635,671,"tags=19%, list=16%, signal=23%",Tnfrsf21/Medag/Slc4a7/Pard3/Fhod3/Kazn/Tshz3/Tcf4/B2m/Mbd1/Mib1/Dok5/Acvrl1/Igf1/Socs5/Atp9a/Magi1/Jak1/Rai14/Ntn1/Foxn2/Hdgfl3/Nr4a1/Ndrg1/Tjp2/Limd1/Wls/Fgf7/Irf2bp2/Nav3/Sh3glb1/Xrcc4/Esr1/Brdt/Myo6/Sos1/Rdx/Fbn1/Ntf3/Adarb1/Epb41l3/Ppard/Pawr/Epha4/Ppp1r9a/Zbtb16/Bin3/Plxnc1/Dst/Pals1/Bmp4/Herc1/H3f3b/Ptpra/Dnajb11/Ret/Fhl2/Nfkbia/Pecam1/Vps13b/Cdin1/Fosl2/Prkd1/Mitf/Stat5b/Herc2/Adamts15/Serpinh1/Heatr3/Atxn2/Ubash3b/Lnpk/Ror2/Mgll/Apc/Ntrk3/Btbd1/Hlf/Ckap5/Sipa1l1/Zhx3/Ccnt2/Mcl1/Nxn/Robo2/Nr3c1/Brinp3/Cd9/Plscr1/Selenbp1/Bend6/Uba6/Opa3/Bcl2/Rasgrf1/Stau2/Nav1/Abi3bp/Enpp1/Zswim6/Ptprm/Tiparp/Palld/Slc23a2/Ctnnd1/Abca5/Lama2/Zfp521/Epha7/Dag1/Nab1/Foxp2/Ptx3/B4galt1/Tgfb2/Ntrk2/Smad2/Tbx20/Sox6/Fubp1/Chsy1/Ddx17/Nf1/Cpeb1/Enpp2/Myh6/Rras2/Prrx1/Hmgb1/Cd34/Farp1/Pdgfra/Sdc4/Arhgap24/Tnik/Heg1/Dock10/Mtf2/Akap13/Prkg1/Pbx3/Itga5/Wdpcp/Axl/Cxcl5/Lncpint/Fgf10/Slit3/Poc1b/Aldh1a2/Vegfc/Itgb8/Col4a2/Dpysl3/Adgrl3/Apold1/Col14a1/Tox/Errfi1/Elf1/Fndc3b/S1pr3/Vcam1/Pim1/Adamts5/Ncor1/Map3k5/Tmtc3/Fmn2/Rbfox1/Abcb1b/Cep128/Tlr4/Hdac1/Angpt1/Apoe/Rgs6/Efemp1/Scyl2/Plcl2/Ackr3/Prickle2/Prex2/Nedd4/Cebpb/Vcan/Ifrd1/Thsd7a/Dock1/Col5a2/Raph1/Adam22/Prickle1/Spag9/Filip1/Smyd3/Ppfia2/Adamts1/Ccl2/Frmd6/Mllt3/Ttn/Flrt2/Pde3a/Serpine2/Map1b/Man2a1/Sdc2/Slc8a1/Tnfaip6/Il1r1/Abi1/Egfr/Fgl2/Crppa/Jarid2/Tnc/Sulf1/Col8a1/Homer1/Ntn4/Col4a1/Unc5c/Robo1/Ngf/Efna5/Il33/Plpp3/Timp3/Slit2/Col3a1/Prg4/Mdga2/Adamts9/Serpine1/Wwox/Meg3/Ugdh/Kcnq1ot1/Rian/Airn
GO:0016477,cell migration,553,-0.5867287615800899,-1.2372439337487664,3.075936501154467e-4,0.1389169822333886,0.13230574239834147,689,"tags=24%, list=17%, signal=23%",Hdac2/Arid5b/Pds5a/Actr3/Has1/Aqp1/Il16/Pard3/Acvrl1/Igf1/Ntn1/Nr4a1/Limd1/Fgf7/Nav3/Rdx/Ntf3/Adarb1/Ppard/St3gal4/Pawr/Epha4/Sparc/Kank2/Bin3/Plxnc1/Bmp4/Ret/Pecam1/Pdgfd/Prkd1/Mitf/Stat5b/Ror2/Apc/Ntrk3/Ccl7/Cd9/Dock4/Dlc1/Bcl2/Nav1/Enpp1/Zswim6/Ptprm/Palld/Lama2/Cpne3/Dag1/B4galt1/Tgfb2/Glul/Ntrk2/Tbx20/Fubp1/Fmnl2/Nf1/Cpeb1/Enpp2/Ccbe1/Rras2/Hmgb1/Cd34/Pdgfra/Sdc4/Arhgap24/Irs2/Dock10/Smoc2/Prkg1/Itga5/Wdpcp/Axl/Cxcl5/Fgf10/Vegfc/Itgb8/Dpysl3/Adgrl3/Errfi1/Cyp7b1/Fndc3b/Vcam1/Cxcl2/F3/Fmn2/Tlr4/Hdac1/Angpt1/Apoe/Dpep1/Efemp1/Ackr3/Irs1/Dcn/Vcan/Dock1/Pde4b/Cdh19/Prickle1/Spag9/Filip1/Adamts1/Synpo2/Ccl2/Flrt2/Rhoj/Mcc/Sdc2/Grb10/Slc8a1/Tnfaip6/Il1r1/Abi1/Egfr/Tnc/Sulf1/Akap12/Ntn4/Unc5c/Robo1/Il33/Plpp3/Pcsk5/Slit2/Col3a1/Mdga2/Adamts9/Serpine1/Kcnq1ot1
GO:0048870,cell motility,584,-0.5806427684052085,-1.2246035569722153,3.0303679111690714e-4,0.1389169822333886,0.13230574239834147,689,"tags=23%, list=17%, signal=22%",Hdac2/Arid5b/Pds5a/Actr3/Has1/Aqp1/Il16/Pard3/Nsun7/Acvrl1/Igf1/Ntn1/Nr4a1/Limd1/Fgf7/Nav3/Rdx/Ntf3/Adarb1/Ppard/St3gal4/Pawr/Epha4/Sparc/Kank2/Bin3/Plxnc1/Dst/Bmp4/Ret/Pecam1/Pdgfd/Prkd1/Mitf/Stat5b/Ror2/Apc/Ntrk3/Ccl7/Cd9/Dock4/Dlc1/Bcl2/Nav1/Enpp1/Zswim6/Ptprm/Palld/Lama2/Cpne3/Dag1/B4galt1/Tgfb2/Glul/Ntrk2/Tbx20/Fubp1/Fmnl2/Nf1/Cpeb1/Enpp2/Ccbe1/Rras2/Hmgb1/Cd34/Pdgfra/Sdc4/Arhgap24/Irs2/Dock10/Arhgap18/Smoc2/Prkg1/Itga5/Wdpcp/Axl/Cxcl5/Fgf10/Poc1b/Vegfc/Itgb8/Dpysl3/Adgrl3/Errfi1/Cyp7b1/Fndc3b/Vcam1/Cxcl2/F3/Fmn2/Cep128/Tlr4/Hdac1/Angpt1/Apoe/Dpep1/Efemp1/Ackr3/Irs1/Dcn/Vcan/Dock1/Pde4b/Cdh19/Prickle1/Spag9/Filip1/Adamts1/Synpo2/Ccl2/Flrt2/Rhoj/Mcc/Sdc2/Grb10/Slc8a1/Tnfaip6/Il1r1/Abi1/Egfr/Tnc/Sulf1/Akap12/Ntn4/Unc5c/Robo1/Il33/Plpp3/Pcsk5/Slit2/Col3a1/Mdga2/Adamts9/Serpine1/Kcnq1ot1
GO:0007155,cell adhesion,432,-0.5987747587604574,-1.261002678735785,4.3518606166869685e-4,0.17470302675655575,0.1663886825257275,873,"tags=29%, list=21%, signal=25%",Actb/Dusp1/Cd47/Tsc1/Lims2/Tnxb/Sdk1/Svep1/Nectin1/Col15a1/Smad7/Lpp/Podxl/Cav1/Nck1/Cbfb/Adamts12/Spta1/Cdon/Tenm3/Alcam/Farp2/Cdk6/Cfdp1/Fat3/Klc1/Tnfrsf21/Lrrc4/Pard3/B2m/Acvrl1/Rsu1/Igf1/Socs5/Magi1/Jak1/Ntn1/Tjp2/Pnn/Rdx/Fbn1/Ppard/St3gal4/Pawr/Epha4/Plxnc1/Dst/Bmp4/Ptpra/Ret/Pecam1/Stat5b/Ubash3b/Atxn3/Apc/Robo2/Nid2/Cd9/Dlc1/Bcl2/Fbln2/Abi3bp/Ptprm/Palld/Slc23a2/Ctnnd1/Lama2/Epha7/Dag1/Plekha2/B4galt1/Tgfb2/Dpt/Nf1/Enpp2/Hmgb1/Cd34/Pdgfra/Sdc4/Smoc2/Prkg1/Il1rap/Itga5/Wdpcp/Axl/Itgb8/Adgrl3/Col14a1/Pcdha11/Fndc3b/Vcam1/Col4a3/Angpt1/Ackr3/Tesk2/Cebpb/Vcan/Dock1/Cdh19/Prickle1/Ccl2/Lsamp/Pde3b/Flrt2/Serpine2/Pcdh7/Tnfaip6/Egfr/Fgl2/Tnc/Sulf1/Col8a1/Ntn4/Robo1/Igfbp7/Efna5/Plpp3/Pcsk5/Slit2/Col3a1/Mdga2/Adamts9/Serpine1/Pcdh9
GO:0072537,fibroblast activation,12,-0.9507107169580041,-1.770290500658438,6.021789924703755e-4,0.21756726997954667,0.20721296067217446,39,"tags=25%, list=1%, signal=25%",Akap12/Gclc/Rian
