ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0001525,angiogenesis,44/252,153/1961,3.497764724268384e-8,8.282706867067533e-5,7.374760781799552e-5,Ackr3/Adamts1/Adamts9/Adipor2/Anxa3/Aqp1/Arhgap24/Atp2b4/Calcrl/Cald1/Col4a1/Col4a2/Col4a3/Col8a1/Dcn/Efnb2/Ets1/Hdac9/Hspg2/Id1/Itga5/Jak1/Kdr/Map3k3/Meis1/Nr4a1/Nrp2/Nrxn3/Pik3c2a/Prkca/Prkd1/Prkd2/Ptgs2/Rbpj/Rtn4/Slc12a2/Slit2/Sp100/Stab1/Stim1/Sulf1/Thsd7a/Vav3/Vegfc,44
GO:0072359,circulatory system development,65/252,297/1961,1.526824009324442e-6,0.0012727096619626296,0.0011331958805614988,Ackr3/Adamts1/Adamts9/Adgrg6/Adipor2/Ank2/Anxa3/Aqp1/Arhgap24/Asxl2/Atf7/Atp2b4/Bicc1/Cacna1c/Calcrl/Cald1/Col4a1/Col4a2/Col4a3/Col8a1/Dcn/Efnb2/Egfr/Egr1/Errfi1/Ets1/Fbn1/Flrt2/Hdac9/Hspg2/Id1/Insr/Itga5/Jak1/Kdr/Ltbp1/Map3k3/Meis1/Myh6/Myo1e/Nr4a1/Nrp2/Nrxn3/Pik3c2a/Prkca/Prkd1/Prkd2/Ptgs2/Rapgef1/Rbpj/Rps6ka2/Rtn4/Ryr2/Slc12a2/Slc8a1/Slit2/Sorbs2/Sp100/Stab1/Stim1/Sulf1/Thsd7a/Ttn/Vav3/Vegfc,65
GO:0007155,cell adhesion,63/252,285/1961,1.612385551472926e-6,0.0012727096619626296,0.0011331958805614988,Ackr3/Actn1/Adamts9/Alcam/Axl/B2m/Bcl2/Cblb/Ccdc80/Cd200/Cd36/Cd55/Col4a3/Col8a1/Cyth3/Dennd6a/Efnb2/Egfr/Epha4/Ets1/Fbn1/Flrt2/Hspg2/Igfbp7/Iqgap1/Itga1/Itga5/Itgbl1/Itpkb/Jak1/Kank1/Kdr/Kif26b/Kitl/Lama2/Lamc1/Lsamp/Lyn/Lyve1/Myo10/Nedd9/Nid1/Nrxn3/Ntn4/Pawr/Pcdh9/Pdia3/Peli1/Podxl/Prkca/Prkd2/Prkg1/Rapgef1/Rbpj/Rtn4/Sdk1/Slit2/Smoc1/Spon1/Stab1/Trpm7/Vav3/Vcl,63
GO:0040011,locomotion,64/252,294/1961,2.3258782886550932e-6,0.0013769199468838152,0.0012259826874147768,Ackr3/Actr3/Adamts1/Adamts9/Adipor2/Anxa3/Aqp1/Arhgap32/Atp2b4/Atp8a1/Bcl2/Camk1d/Cd200/Dach1/Dcn/Dock2/Dpysl3/Efnb2/Egfr/Egr1/Epha4/Ets1/Flrt2/Fubp1/Hdac9/Igfbp5/Il1r1/Insr/Iqgap1/Itga1/Itga5/Kank1/Kdr/Kitl/Lama2/Ldb2/Lyn/Lyve1/Map3k3/Nav3/Nedd9/Nr4a1/Nrp2/Pawr/Pde4b/Pik3c2a/Podxl/Prkca/Prkd1/Prkd2/Prkg1/Ptgs2/Rtn4/Slc12a2/Slc8a1/Slit2/Sp100/Sulf1/Ttn/Vav3/Vcl/Vegfc/Ythdf3/Zeb2,64
GO:0048514,blood vessel morphogenesis,45/252,184/1961,4.250333224031934e-6,0.002012957814901524,0.0017922984100496768,Ackr3/Adamts1/Adamts9/Adipor2/Anxa3/Aqp1/Arhgap24/Atp2b4/Calcrl/Cald1/Col4a1/Col4a2/Col4a3/Col8a1/Dcn/Efnb2/Ets1/Hdac9/Hspg2/Id1/Itga5/Jak1/Kdr/Map3k3/Meis1/Myo1e/Nr4a1/Nrp2/Nrxn3/Pik3c2a/Prkca/Prkd1/Prkd2/Ptgs2/Rbpj/Rtn4/Slc12a2/Slit2/Sp100/Stab1/Stim1/Sulf1/Thsd7a/Vav3/Vegfc,45
GO:0035239,tube morphogenesis,54/252,242/1961,8.318954989994406e-6,0.0032832142360511257,0.0029233099727997893,Ackr3/Adamts1/Adamts9/Adipor2/Anxa3/Aqp1/Arhgap24/Atp2b4/Bcl2/Calcrl/Cald1/Col4a1/Col4a2/Col4a3/Col8a1/Dcn/Efnb2/Egfr/Epha4/Ets1/Fzd6/Hdac9/Hspg2/Id1/Itga5/Jak1/Kdr/Kif26b/Map3k3/Meis1/Mtss1/Myo1e/Nr4a1/Nrp2/Nrxn3/Pik3c2a/Prkca/Prkd1/Prkd2/Ptgs2/Rbpj/Rtn4/Ryr2/Shroom3/Slc12a2/Slit2/Sp100/Stab1/Stim1/Sulf1/Thsd7a/Vav3/Vegfc/Zeb2,54
GO:0001568,blood vessel development,48/252,208/1961,1.1238610496816257e-5,0.003801861379494414,0.0033851032819733782,Ackr3/Adamts1/Adamts9/Adipor2/Anxa3/Aqp1/Arhgap24/Atp2b4/Calcrl/Cald1/Col4a1/Col4a2/Col4a3/Col8a1/Dcn/Efnb2/Egr1/Ets1/Hdac9/Hspg2/Id1/Itga5/Jak1/Kdr/Ltbp1/Map3k3/Meis1/Myo1e/Nr4a1/Nrp2/Nrxn3/Pik3c2a/Prkca/Prkd1/Prkd2/Ptgs2/Rapgef1/Rbpj/Rtn4/Slc12a2/Slit2/Sp100/Stab1/Stim1/Sulf1/Thsd7a/Vav3/Vegfc,48
GO:0048646,anatomical structure formation involved in morphogenesis,56/252,260/1961,1.7303638711482934e-5,0.005121877058598949,0.004560419518302675,Ackr3/Actn1/Adamts1/Adamts9/Adgrg6/Adipor2/Anxa3/Aqp1/Arhgap24/Atp2b4/Calcrl/Cald1/Cd36/Col4a1/Col4a2/Col4a3/Col8a1/Dcn/Dock2/Efnb2/Ets1/Fzd6/Hdac9/Hipk1/Hspg2/Id1/Itga5/Jak1/Kdr/Kif26b/Map3k3/Meis1/Myh6/Nr4a1/Nrp2/Nrxn3/Pik3c2a/Prkca/Prkd1/Prkd2/Ptgs2/Rbpj/Rtn4/Sh3pxd2a/Shroom3/Slc12a2/Slit2/Sp100/Stab1/Stim1/Sulf1/Thsd7a/Ttn/Vav3/Vegfc/Zeb2,56
GO:0001944,vasculature development,49/252,218/1961,1.9579741728727917e-5,0.005151647601514189,0.004586926629548775,Ackr3/Adamts1/Adamts9/Adipor2/Anxa3/Aqp1/Arhgap24/Atp2b4/Calcrl/Cald1/Col4a1/Col4a2/Col4a3/Col8a1/Dcn/Efnb2/Egr1/Errfi1/Ets1/Hdac9/Hspg2/Id1/Itga5/Jak1/Kdr/Ltbp1/Map3k3/Meis1/Myo1e/Nr4a1/Nrp2/Nrxn3/Pik3c2a/Prkca/Prkd1/Prkd2/Ptgs2/Rapgef1/Rbpj/Rtn4/Slc12a2/Slit2/Sp100/Stab1/Stim1/Sulf1/Thsd7a/Vav3/Vegfc,49
GO:0006937,regulation of muscle contraction,14/252,34/1961,3.0096722549132418e-5,0.006572125894349142,0.005851692819337364,Ank2/Atp2b1/Cacna1c/Calcrl/Cald1/Nr4a1/Pawr/Pde4b/Prkca/Prkd1/Prkg1/Ptgs2/Ryr2/Slc8a1,14
GO:0006936,muscle contraction,19/252,56/1961,3.052930102949348e-5,0.006572125894349142,0.005851692819337364,Ank2/Atp2b1/Atp2b4/Cacna1c/Cacna2d1/Calcrl/Cald1/Myh6/Nr4a1/Pawr/Pde4b/Prkca/Prkd1/Prkg1/Ptgs2/Ryr2/Slc8a1/Sulf1/Ttn,19
GO:0016477,cell migration,73/252,377/1961,3.8748121337203945e-5,0.007513904088141809,0.006690233769802652,Ackr3/Actr3/Adamts1/Adamts9/Adipor2/Anxa3/Aqp1/Arhgap24/Arhgap32/Atp2b4/Atp8a1/Auts2/Axl/Bcl2/Camk1d/Ccdc141/Cd200/Dach1/Dcn/Dock2/Dpysl3/Efnb2/Egfr/Egr1/Epha4/Errfi1/Ets1/Flrt2/Fubp1/Hdac9/Igfbp5/Il1r1/Insr/Iqgap1/Itga1/Itga5/Itgbl1/Kank1/Kdr/Kitl/Lama2/Lamc1/Ldb2/Lyn/Lyve1/Map3k3/Nav1/Nav3/Nedd9/Nr4a1/Nrp2/Ntn4/Pawr/Pde4b/Pik3c2a/Podxl/Prkca/Prkd1/Prkd2/Prkg1/Ptgs2/Rtn4/Schip1/Slc12a2/Slc8a1/Slit2/Sp100/Sulf1/Vav3/Vcl/Vegfc/Ythdf3/Zeb2,73
GO:0048870,cell motility,75/252,391/1961,4.1250318051454185e-5,0.007513904088141809,0.006690233769802652,Ackr3/Actr3/Adamts1/Adamts9/Adipor2/Anxa3/Aqp1/Arhgap24/Arhgap32/Atp2b4/Atp8a1/Auts2/Axl/Bcl2/Camk1d/Ccdc141/Cd200/Dach1/Dcn/Dock2/Dpysl3/Dstn/Efnb2/Egfr/Egr1/Epha4/Errfi1/Ets1/Flrt2/Fubp1/Hdac9/Igfbp5/Il1r1/Insr/Iqgap1/Itga1/Itga5/Itgbl1/Kank1/Kdr/Kitl/Lama2/Lamc1/Ldb2/Lyn/Lyve1/Map3k3/Myo10/Nav1/Nav3/Nedd9/Nr4a1/Nrp2/Ntn4/Pawr/Pde4b/Pik3c2a/Podxl/Prkca/Prkd1/Prkd2/Prkg1/Ptgs2/Rtn4/Schip1/Slc12a2/Slc8a1/Slit2/Sp100/Sulf1/Vav3/Vcl/Vegfc/Ythdf3/Zeb2,75
GO:0045765,regulation of angiogenesis,23/252,77/1961,4.592005791761773e-5,0.007720716160643907,0.006874375208823678,Adamts1/Adamts9/Anxa3/Aqp1/Atp2b4/Col4a2/Col4a3/Dcn/Ets1/Id1/Itga5/Jak1/Kdr/Prkca/Prkd1/Prkd2/Rtn4/Slc12a2/Sp100/Stab1/Stim1/Sulf1/Vegfc,23
GO:0048878,chemical homeostasis,35/252,142/1961,4.890656351759231e-5,0.007720716160643907,0.006874375208823678,Adipor2/Ank2/Aqp1/Atp2b1/Atp2b4/B2m/Bcl2/Btbd9/Cacna1c/Corin/Errfi1/Fabp4/Fbn1/Hdac9/Igfbp5/Insr/Kdr/Lpl/Lrrc8d/Lyn/Mtss1/Ncor1/Nr3c2/Picalm/Plcb4/Prkca/Prkd1/Rtn4/Ryr2/Slc12a2/Slc8a1/Stim1/Synpo/Tpp2/Trpm7,35
GO:1901342,regulation of vasculature development,23/252,78/1961,5.767412964794972e-5,0.008535771187896559,0.00760008432137127,Adamts1/Adamts9/Anxa3/Aqp1/Atp2b4/Col4a2/Col4a3/Dcn/Ets1/Id1/Itga5/Jak1/Kdr/Prkca/Prkd1/Prkd2/Rtn4/Slc12a2/Sp100/Stab1/Stim1/Sulf1/Vegfc,23
GO:0030334,regulation of cell migration,55/252,267/1961,8.273059385150981e-5,0.011523885072963248,0.010260642692543292,Ackr3/Actr3/Adamts1/Adamts9/Adipor2/Anxa3/Aqp1/Arhgap32/Atp2b4/Atp8a1/Bcl2/Camk1d/Cd200/Dach1/Dcn/Dpysl3/Egfr/Egr1/Epha4/Ets1/Flrt2/Fubp1/Hdac9/Igfbp5/Il1r1/Insr/Iqgap1/Itga5/Kank1/Kdr/Kitl/Lama2/Ldb2/Lyn/Lyve1/Map3k3/Nav3/Nedd9/Pawr/Pik3c2a/Podxl/Prkca/Prkd1/Prkd2/Prkg1/Ptgs2/Rtn4/Slc8a1/Slit2/Sp100/Sulf1/Vcl/Vegfc/Ythdf3/Zeb2,55
GO:0040012,regulation of locomotion,56/252,275/1961,9.888497979206208e-5,0.01300886845264461,0.011582842954590666,Ackr3/Actr3/Adamts1/Adamts9/Adipor2/Anxa3/Aqp1/Arhgap32/Atp2b4/Atp8a1/Bcl2/Camk1d/Cd200/Dach1/Dcn/Dpysl3/Efnb2/Egfr/Egr1/Epha4/Ets1/Flrt2/Fubp1/Hdac9/Igfbp5/Il1r1/Insr/Iqgap1/Itga5/Kank1/Kdr/Kitl/Lama2/Ldb2/Lyn/Lyve1/Map3k3/Nav3/Nedd9/Pawr/Pik3c2a/Podxl/Prkca/Prkd1/Prkd2/Prkg1/Ptgs2/Rtn4/Slc8a1/Slit2/Sp100/Sulf1/Vcl/Vegfc/Ythdf3/Zeb2,56
