ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0061061,muscle structure development,105/900,352/6311,6.504943379332262e-15,2.5037527067049876e-11,1.9569608608559584e-11,Actc1/Adarb1/Adra1a/Alpk2/Alpk3/Angpt1/Ankrd1/Ankrd17/Ankrd23/Arid1b/Arid5b/Atf3/Bcl2/Bdnf/Bmpr1a/Btg2/Camk2d/Casq2/Cdh2/Chd2/Cryab/Csrp3/Cxadr/Dag1/Des/Dpf3/Dsp/Dysf/Ednra/Eln/Epc1/Fbxo40/Fhl2/Fhod3/Fktn/Flnc/Gja1/Gpcpd1/Gsk3b/Hdac4/Hdac9/Heg1/Hopx/Igfbp5/Itgb1/Jph1/Lama2/Lmod2/Mef2a/Mef2c/Meis1/Mtss1/Mybpc3/Myh6/Myh7/Myl2/Myl3/Mylk3/Myo18b/Myocd/Myom2/Myoz2/Neb/Nebl/Nr2c2/Pdlim1/Pdlim5/Pgm5/Pik3r1/Plcb1/Popdc3/Ppara/Ppp2r3a/Prickle1/Prkd1/Prox1/Qki/Rarb/Rbfox1/Rbm24/Rbpj/Rcan1/Ripor2/Rora/Rpl3l/Sfmbt1/Sik1/Slc8a1/Smyd1/Smyd3/Sox6/Spag9/Svil/Tbx20/Tcf7l2/Tgfb2/Tnni3/Tnnt2/Tpm1/Ttn/Unc45b/Vegfa/Xirp1/Xirp2/Zfpm2,105
GO:0051146,striated muscle cell differentiation,64/900,173/6311,3.7957286721501246e-14,7.304879829552914e-11,5.709575023686872e-11,Actc1/Adra1a/Alpk2/Alpk3/Ankrd23/Bcl2/Bdnf/Bmpr1a/Camk2d/Casq2/Cdh2/Csrp3/Cxadr/Dysf/Epc1/Fhl2/Fhod3/Fktn/Flnc/Gsk3b/Hdac4/Hdac9/Hopx/Igfbp5/Itgb1/Lmod2/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myh7/Myl2/Mylk3/Myo18b/Myocd/Myom2/Myoz2/Neb/Nebl/Pdlim5/Pgm5/Popdc3/Ppara/Prickle1/Prkd1/Prox1/Rarb/Rbm24/Rbpj/Rcan1/Ripor2/Rpl3l/Sik1/Slc8a1/Smyd1/Smyd3/Sox6/Spag9/Tnnt2/Tpm1/Ttn/Vegfa/Xirp1,64
GO:0030029,actin filament-based process,106/900,377/6311,3.6388080852259363e-13,4.668590773344876e-10,3.649022283359904e-10,Abcc9/Actc1/Ankrd23/Arhgap44/Atp1a1/Atp2c1/Baiap2l1/Bcas3/Bcl2/Cacna1c/Cacnb2/Camk2d/Cap2/Casq2/Ccn2/Clasp1/Coro6/Csrp3/Cxadr/Daam1/Dsg2/Dsp/Dstn/Elmo1/Eln/Enah/Epb41/Farp2/Fer/Fermt2/Fhod3/Flnc/Frmd6/Gja1/Hmcn1/Hsp90b1/Itgb1/Itgb5/Jmy/Kank1/Kank2/Kcnn2/Kcnq1/Lmod2/Lpin1/Mef2a/Mef2c/Mkln1/Mtss1/Mybpc3/Myh6/Myh7/Myh7b/Myl2/Mylk3/Myo18b/Myo1e/Myom2/Myoz2/Nck1/Neb/Nebl/Nedd4l/Nedd9/Nrp1/Pafah1b1/Pak2/Pakap/Parvb/Pdlim1/Pdlim5/Pgm5/Phactr2/Pik3r1/Pip5k1a/Pln/Ppargc1b/Ppm1e/Ppp1r9a/Prkce/Prkd1/Prox1/Pstpip2/Rap1gds1/Rhobtb1/Scn5a/Sema5a/Shroom3/Slit2/Snta1/Spta1/Sptbn1/Ssh2/Stard13/Svil/Tesk2/Tgfb2/Tnik/Tnnt2/Tpm1/Ttn/Twf2/Ush1c/Xirp1/Xirp2/Zeb2,106
GO:0014706,striated muscle tissue development,58/900,159/6311,1.2586070797871838e-12,1.2110946625252175e-9,9.466050089557291e-10,Actc1/Adamts9/Adra1a/Alpk2/Alpk3/Angpt1/Ankrd1/Bdnf/Bmpr1a/Camk2d/Csrp3/Cxadr/Dsg2/Dsp/Ednra/Fhl2/Fhod3/Gja1/Gsk3b/Hdac9/Heg1/Itgb1/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myh7/Myl2/Myl3/Mylk3/Myo18b/Myocd/Neb/Nebl/Pdlim5/Pgm5/Pln/Ppara/Prickle1/Prox1/Rarb/Rbpj/Rpl3l/Sgcg/Sik1/Slc8a1/Sox6/Tbx20/Tgfb2/Tnni3/Tnnt2/Tpm1/Ttn/Vegfa/Xirp1/Xirp2/Zfpm2,58
GO:0060537,muscle tissue development,77/900,247/6311,3.0696516931918263e-12,2.016734124322554e-9,1.5763017399772626e-9,Actc1/Adamts9/Adra1a/Alpk2/Alpk3/Angpt1/Ankrd1/Atf3/Bcl2/Bdnf/Bmpr1a/Btg2/Camk2d/Csrp3/Cxadr/Dsg2/Dsp/Dysf/Ednra/Eln/Fhl2/Fhod3/Fktn/Gja1/Gpcpd1/Gsk3b/Hdac4/Hdac9/Heg1/Igfbp5/Itgb1/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myh7/Myl2/Myl3/Mylk3/Myo18b/Myocd/Myoz2/Neb/Nebl/Pdlim5/Pgm5/Pln/Popdc3/Ppara/Prickle1/Prox1/Rarb/Rbfox1/Rbm24/Rbpj/Rcan1/Rpl3l/Schip1/Sgcg/Sik1/Slc8a1/Smyd1/Sox6/Svil/Tbx20/Tcf7l2/Tgfb2/Tnni3/Tnnt2/Tpm1/Ttn/Vegfa/Xirp1/Xirp2/Zfp950/Zfpm2,77
GO:0042692,muscle cell differentiation,72/900,224/6311,3.143778837603358e-12,2.016734124322554e-9,1.5763017399772626e-9,Actc1/Adra1a/Alpk2/Alpk3/Ankrd17/Ankrd23/Bcl2/Bdnf/Bmpr1a/Camk2d/Casq2/Cdh2/Csrp3/Cxadr/Dpf3/Dysf/Ednra/Epc1/Fbxo40/Fhl2/Fhod3/Fktn/Flnc/Gsk3b/Hdac4/Hdac9/Hopx/Igfbp5/Itgb1/Lama2/Lmod2/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myh7/Myl2/Mylk3/Myo18b/Myocd/Myom2/Myoz2/Neb/Nebl/Pdlim5/Pgm5/Popdc3/Ppara/Prickle1/Prkd1/Prox1/Qki/Rarb/Rbm24/Rbpj/Rcan1/Ripor2/Rora/Rpl3l/Sik1/Slc8a1/Smyd1/Smyd3/Sox6/Spag9/Svil/Tnnt2/Tpm1/Ttn/Vegfa/Xirp1,72
GO:0007507,heart development,94/900,330/6311,4.001147856974248e-12,2.2000597287848404e-9,1.7195910639447222e-9,Abcc9/Acacb/Actc1/Adam19/Adamts1/Adamts6/Adamts9/Adra1a/Agtr1a/Alpk2/Alpk3/Angpt1/Ankrd1/Bicc1/Bmpr1a/Cacna1c/Camk2d/Ccn1/Col5a1/Cpe/Csrp3/Cxadr/Dag1/Dhrs3/Dsg2/Dsp/Ednra/Eln/Ext1/Fhl2/Fhod3/Gab1/Gja1/Gsk3b/Gys1/Hand2os1/Hdac9/Heg1/Hopx/Insr/Itgb1/Kcnq1/Luzp1/Mb/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myh7/Myl2/Myl3/Mylk3/Myo18b/Myocd/Neb/Nebl/Nedd4/Nppb/Nrp1/Pdlim1/Pdlim5/Pln/Plxna4/Popdc3/Ppara/Prickle1/Prox1/Rarb/Rbm24/Rbpj/Rps6ka2/Scn5a/Sgcg/Sik1/Slc8a1/Slit2/Slit3/Smyd1/Sox6/Tab2/Tbx20/Tead1/Tgfb2/Tmed2/Tmem65/Tnni3/Tnnt2/Tpm1/Ttn/Vegfa/Xirp1/Xirp2/Zfpm2,94
GO:0048738,cardiac muscle tissue development,54/900,147/6311,5.609326000788358e-12,2.6556804552002184e-9,2.075709272664732e-9,Actc1/Adamts9/Adra1a/Alpk2/Alpk3/Angpt1/Ankrd1/Bmpr1a/Camk2d/Csrp3/Cxadr/Dsg2/Dsp/Ednra/Fhl2/Fhod3/Gja1/Gsk3b/Heg1/Itgb1/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myh7/Myl2/Myl3/Mylk3/Myo18b/Myocd/Neb/Nebl/Pdlim5/Pln/Ppara/Prickle1/Prox1/Rarb/Rbpj/Sgcg/Sik1/Slc8a1/Sox6/Tbx20/Tgfb2/Tnni3/Tnnt2/Tpm1/Ttn/Vegfa/Xirp1/Xirp2/Zfpm2,54
GO:0008015,blood circulation,70/900,218/6311,6.766128311652044e-12,2.6556804552002184e-9,2.075709272664732e-9,Abcc8/Abcc9/Actc1/Adra1a/Agtr1a/Angpt1/Arhgef12/Atp1a1/Atp1b1/Cacna1c/Cacnb2/Camk2d/Casq2/Ccn2/Csrp3/Cxadr/Dnm1l/Dsg2/Dsp/Ednra/Ext1/Fermt2/Gja1/Hdac4/Hopx/Itga1/Kcnd3/Kcnip2/Kcnn2/Kcnq1/Lnpep/Mef2a/Mybpc3/Myh6/Myh7/Myh7b/Myl2/Myl3/Myl4/Mylk3/Nampt/Nav2/Ncald/Nedd4l/Nppa/Nppb/Npr3/Nr3c2/Per2/Pik3r1/Pln/Ppara/Rap1gds1/Rps6ka2/Scn5a/Sgcg/Slc8a1/Slit2/Snta1/Stk39/Tbx20/Tgfb2/Thrb/Tmem65/Tnni3/Tnnt2/Tpm1/Ttn/Vegfa/Zeb2,70
GO:0055001,muscle cell development,49/900,127/6311,6.899663432580459e-12,2.6556804552002184e-9,2.075709272664732e-9,Actc1/Adra1a/Alpk2/Alpk3/Ankrd23/Bcl2/Bmpr1a/Camk2d/Casq2/Csrp3/Cxadr/Dysf/Ednra/Fhl2/Fhod3/Flnc/Gsk3b/Hdac4/Hdac9/Itgb1/Lmod2/Mef2a/Mef2c/Meis1/Mybpc3/Myh6/Myh7/Myl2/Mylk3/Myo18b/Myocd/Myom2/Myoz2/Neb/Nebl/Pdlim5/Pgm5/Ppara/Prickle1/Prkd1/Prox1/Rcan1/Slc8a1/Smyd3/Tnnt2/Tpm1/Ttn/Vegfa/Xirp1,49
